id,cin,company_name,status,roc,company_type,incorporation_date,email,website,address,source_url,content_hash,last_updated
16,U74990MH2009FTC194075,PWC STRATEGY& (INDIA) PRIVATE LIMITED,Active,RoC-Mumbai,,2009-07-14,nilesh.narwekar@strategyand.in.pwc.com,https://www.zaubacorp.com/PWC-STRATEGY-AND-INDIA-PRIVATE-LIMITED-U74990MH2009FTC194075,"Swatantryaveer Savarkar Rashtriya Smarak, 252 Veer Savarkar Marg, Shivaji Park, Dadar (W) Mumbai Mumbai City MH 400028 IN",https://www.zaubacorp.com/PWC-STRATEGY-AND-INDIA-PRIVATE-LIMITED-U74990MH2009FTC194075,9d3bcfa59c3b8f77986957813d882318,2026-05-13 19:08:11
17,U85100MH2014PTC258481,MEQUISYS SOLUTIONS PRIVATE LIMITED,Active,ROC Mumbai,,2014-09-30,mequisyssolution@gmail.com,https://www.zaubacorp.com/MEQUISYS-SOLUTIONS-PRIVATE-LIMITED-U85100MH2014PTC258481,"12 FLOOR, D WING, TRADE WORLD, KAMALA CITY, SENAPATI BAPAT MARG,   , LOWER PAREL WEST, Maharashtra, India - 400013",https://www.zaubacorp.com/PROLOGY-IT-SOLUTIONS-PRIVATE-LIMITED-U74120MH2014PTC258481,cb0f8114ee32dfa098d63d8e96cc29dc,2026-05-13 19:08:14
18,U70100KA2005PTC042122,PRIMROSE REALTY PROJECTS (BANGALORE) PRIVATE LIMITED,Active,ROC Bangalore,,2005-06-03,secretarial@vaswanigroup.com,https://www.zaubacorp.com/PRIMROSE-REALTY-PROJECTS-BANGALORE-PRIVATE-LIMITED-U70100KA2005PTC042122,"'VASWANI VICTORIA' 3RD FLOOR, 30, VICTORIA ROAD,   , BANGALORE, Karnataka, India - 560047",https://www.zaubacorp.com/DIVIJ-REALTY-PRIVATE-LIMITED-U70100MH2005PTC153743,1711047cabe38234a17a0c9a6149c26f,2026-05-13 19:08:17
19,,Just a moment...,,,,,,,,https://www.zaubacorp.com/RADIOHMS-AGENCIES-PRIVATE-LIMITED-U51100MH2005PTC150698,e4b1bb1e86a69d9b08d99555768a93d0,2026-05-13 19:08:19
20,,Just a moment...,,,,,,,,https://www.zaubacorp.com/BLUE-CIRCLE-ORGANICS-PRIVATE-LIMITED-U24299MH2003PTC139929,7108b6392a523b319524244b75e72ab7,2026-05-13 19:08:22
21,,Just a moment...,,,,,,,,https://www.zaubacorp.com/VISHWAKARMA-TREXIM-PVT-LTD-U51109WB1994PTC062270,f30aeb23854b620a89816afb1a03d052,2026-05-13 19:08:25
22,,Just a moment...,,,,,,,,https://www.zaubacorp.com/ANANYA-INVESTMENTS-PRIVATE-LIMITED-U65990GJ1980PTC003888,e3f9b1f3d3de8ddb00346ed4daf9d1f3,2026-05-13 19:08:27
23,,Just a moment...,,,,,,,,https://www.zaubacorp.com/DRESDNER-KLEINWORT-WASSERSTEIN-SECURITIES-INDIA-PRIVATE-LIMITED-U67120MH1993PTC075675,3fc312241b0739fdbe6d541a1b4646a4,2026-05-13 19:08:30
24,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SAITEX-FAB-SAREES-LLP-AAQ-6173,7aa90ca0d6c7f6df00117a2c068fcc6b,2026-05-13 19:08:33
25,,Just a moment...,,,,,,,,https://www.zaubacorp.com/ASPIRE-POWER-PROJECTS-PRIVATE-LIMITED-U40108DL2004PTC125750,55062dd197e510dbee1f9b94c8a27900,2026-05-13 19:08:35
26,,Just a moment...,,,,,,,,https://www.zaubacorp.com/AL-AMAN-TOURISM-PRIVATE-LIMITED-U63040AP2002PTC039713,f8b4ad9eeb66860856d2468a58814e79,2026-05-13 19:08:38
27,,Just a moment...,,,,,,,,https://www.zaubacorp.com/AGK-BUILDCON-LLP-AAJ-4875,05a69be512f248558d53c831c3f6a0ee,2026-05-13 19:08:40
28,,Just a moment...,,,,,,,,https://www.zaubacorp.com/KPC-BUILDERS-PRIVATE-LIMITED-U45200AP2001PTC036587,ab8d41985856bb525a6897eff60c8aad,2026-05-13 19:08:43
29,,Just a moment...,,,,,,,,https://www.zaubacorp.com/RASIK-INFRACON-PRIVATE-LIMITED-U45200DL2012PTC231983,3163ceb63f49bbc7cd31c5d6931f8472,2026-05-13 19:08:46
30,,Just a moment...,,,,,,,,https://www.zaubacorp.com/IMPERIAL-CONSULTANTS-AND-SECURITIES-LIMITED-U65993TN1993PTC024724,b0d623804059eab7c62effa6b7ddf342,2026-05-13 19:08:48
31,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SOM-CONSTRUCTION-PRIVATE-LIMITED-U45400MH2012PTC234572,10895fd3bb4c2a0c4b10da472b39d949,2026-05-13 19:08:51
32,,Just a moment...,,,,,,,,https://www.zaubacorp.com/INEXUS-INNOVATION-PRIVATE-LIMITED-U72900TN2021PTC148423,c5953016d6c1509764911850abc4fa69,2026-05-13 19:08:54
33,,Just a moment...,,,,,,,,https://www.zaubacorp.com/S-L-HOMEZ-PRIVATE-LIMITED-U45400MH2012PTC232620,ae931e683d469f395bb53dd81f156b63,2026-05-13 19:08:57
34,,Just a moment...,,,,,,,,https://www.zaubacorp.com/PACHARIA-EXPORTS-PVT-LTD-U51420WB1989PTC048005,1b265d63329b2340ca756efcef27210e,2026-05-13 19:09:00
35,U63030UP2019PTC125163,DRIKE TOURS AND TRAVELS PRIVATE LIMITED,Strike Off,ROC Kanpur,,2019-12-31,keshavtyagi182000@gmail.com,https://www.zaubacorp.com/DRIKE-TOURS-AND-TRAVELS-PRIVATE-LIMITED-U63030UP2019PTC125163,"C/O ANAND KUMAR, HOUSE NO. 194, VILL DHANORA HAPUR, PANCHSHEEL NAGAR,   , GHAZIABAD, Uttar Pradesh, India - 245101",https://www.zaubacorp.com/DRIKE-TOURS-AND-TRAVELS-PRIVATE-LIMITED-U63030UP2019PTC125163,6e45d3a57acec77d418b5b867eb5319f,2026-05-13 19:09:02
36,,Just a moment...,,,,,,,,https://www.zaubacorp.com/LABEX-INSTRUMENTS-PRIVATE-LIMITED-U33125DL2004PTC124692,33358954c2514b253cb935aa17093dbd,2026-05-13 19:09:05
37,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SHIV-GENERAL-FINANCE-PVT-LTD-U74899DL1961PTC003402,f85acc2659299ed9ec15679465c340fb,2026-05-13 19:09:08
38,U74999DL2002PTC117343,DMF CONSULTANCY SERVICES PRIVATE LIMITED,Active,ROC Delhi,,2002-10-11,accounts@hansuttam.com,https://www.zaubacorp.com/DMF-CONSULTANCY-SERVICES-PRIVATE-LIMITED-U74999DL2002PTC117343,"FLAT NO-57 H BLOCK CONNAUGHT PLACE   , NEW DELHI, Delhi, India - 110001",https://www.zaubacorp.com/DMF-CONSULTANCY-SERVICES-PRIVATE-LIMITED-U74999DL2002PTC117343,2c003718d5550c40191eff78f9bb6d28,2026-05-13 19:09:11
39,,Just a moment...,,,,,,,,https://www.zaubacorp.com/COSMO-SUPER-FINANCE-PRIVATE-LIMITED-U65910KA1993PTC014121,1da405b971f34c6c40a29171b14c1557,2026-05-13 19:09:14
40,,Just a moment...,,,,,,,,https://www.zaubacorp.com/DHYAN-INVESTMENTS-AND-TRADING-COMPANY-PRIVATE-LIMITED-U67120MH1991PTC061744,8ebe2b735bc33ceb122a0cbb79064b2c,2026-05-13 19:09:17
41,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SGL-CONTAINER-LINE-PRIVATE-LIMITED-U63010MH2007PTC174842,885622e3c513eb4017303ac9f8a5c1db,2026-05-13 19:09:19
42,U51909WB1994PTC066566,SUNKISSED TRADERS PVT LTD,Active,ROC Kolkata,,1994-12-14,s.salesbo@gmail.com,https://www.zaubacorp.com/SUNKISSED-TRADERS-PVT-LTD-U51909WB1994PTC066566,"8, GANESH CHANDRA AVENUE 1ST FLOOR, ROOM NO 6   , KOLKATA, West Bengal, India - 700013",https://www.zaubacorp.com/SUNKISSED-TRADERS-PVT-LTD-U51909WB1994PTC066566,a618479c223623b7ba84041fe827ec38,2026-05-13 19:09:22
43,,Just a moment...,,,,,,,,https://www.zaubacorp.com/VIRAASAT-ESTATE-DEVELOPERS-PRIVATE-LIMITED-U70100RJ2017PTC059770,532c1d4019bc7df3a941221d3e138f10,2026-05-13 19:09:25
44,U74920JH2002PTC010036,SALVO SECURITIES & INTELLIGENCE SERVICES PRIVATE LIMITED,Strike Off,RoC-Jharkhand,,2002-12-27,,https://www.zaubacorp.com/SALVO-SECURITIES-AND-INTELLIGENCE-SERVICES-PRIVATE-LIMITED-U74920JH2002PTC010036,"H.NO.- 89, MAKATPUR CHOWKARGAGHAT ROAD P.O.- GIRIDIH P O GIRIDIH JH 000000 IN",https://www.zaubacorp.com/SALVO-SECURITIES-AND-INTELLIGENCE-SERVICES-PRIVATE-LIMITED-U74920JH2002PTC010036,205f4ff840e07d49b23a6d102a605662,2026-05-13 19:09:29
45,U74999MH2017PTC299468,VESELKO LEAD GENERATION AND EVENT MANAGEMENT PRIVATE LIMITED,Active,ROC Mumbai,,2017-09-07,vilas_vj@yahoo.co.in,https://www.zaubacorp.com/VESELKO-LEAD-GENERATION-AND-EVENT-MANAGEMENT-PRIVATE-LIMITED-U74999MH2017PTC299468,"72-569, MOTILAL NAGAR NO.3, M. G. ROAD, NEAR SHIVAJI NAGAR, GOREGAON (WEST)   , MUMBAI, Maharashtra, India - 400104",https://www.zaubacorp.com/VESELKO-LEAD-GENERATION-AND-EVENT-MANAGEMENT-PRIVATE-LIMITED-U74999MH2017PTC299468,a41d084484b8c16f5268ee1b1a64fcae,2026-05-13 19:09:37
46,U45203MH2008PTC181465,JEWEL ROCK REALTY PRIVATE LIMITED,Active,ROC Mumbai,,2008-04-23,jewelrockrealty@gmail.com,https://www.zaubacorp.com/JEWEL-ROCK-REALTY-PRIVATE-LIMITED-U45203MH2008PTC181465,"1002, Excellency 2A, 4th Cross Lane, Lokhandwala Complex, Andheri West,   , Mumbai, Maharashtra, India - 400053",https://www.zaubacorp.com/JEWEL-ROCK-REALTY-PRIVATE-LIMITED-U45203MH2008PTC181465,d81098167db108dff0f92c82e575ebc0,2026-05-13 19:09:43
47,U72200TN2009PTC070684,RELIANT SOFTWARE SOLUTION INTEGRATED PRIVATE LIMITED,Strike Off,ROC Chennai,,2009-02-06,manian_acs@yahoo.co.in,https://www.zaubacorp.com/RELIANT-SOFTWARE-SOLUTION-INTEGRATED-PRIVATE-LIMITED-U72200TN2009PTC070684,"41A, VELLAIKOTTAI MELARATHA STREET,   , ARUPPUKOTTAI, Tamil Nadu, India - 626101",https://www.zaubacorp.com/RELIANT-SOFTWARE-SOLUTION-INTEGRATED-PRIVATE-LIMITED-U72200TN2009PTC070684,35c645016fa66d309e781b33ae817d58,2026-05-13 19:09:52
48,U74999UP2017PTC095536,HADRON PHARMA LAB SOLUTIONS PRIVATE LIMITED,Strike Off,ROC Kanpur,,2017-07-31,csankittrawall@gmail.com,https://www.zaubacorp.com/HADRON-PHARMA-LAB-SOLUTIONS-PRIVATE-LIMITED-U74999UP2017PTC095536,"PANDEY NIWAS, KARM BHOOMI A1 MAIN GALI GARHI SECTOR 121 NOIDA   , Gautam Budh Nagar, Uttar Pradesh, India - 201301",https://www.zaubacorp.com/HADRON-PHARMA-LAB-SOLUTIONS-PRIVATE-LIMITED-U74999UP2017PTC095536,a913d46ef540f78d189b8534c9944f04,2026-05-13 19:09:56
49,U51909UP2021PTC144433,ALHAMD EXIM PRIVATE LIMITED,Active,ROC Kanpur,,2021-03-30,khanamaan596@gmail.com,https://www.zaubacorp.com/ALHAMD-EXIM-PRIVATE-LIMITED-U51909UP2021PTC144433,"MOHALLA SIKRI GATE,15, ALHAMD EXIM PVT. LIMITED SEEKRI GATE TEHSIL CHANDAUSI, SAMBHAL   , SAMBHAL, Uttar Pradesh, India - 244412",https://www.zaubacorp.com/ALHAMD-EXIM-PRIVATE-LIMITED-U51909UP2021PTC144433,64b33d5aea839219700673e217c45b37,2026-05-13 19:10:01
50,U74999UP2017PTC099587,VPG SOLAR INFRATECH PRIVATE LIMITED,Active,ROC Kanpur,,2017-12-21,gmvpgarg@gmail.com,https://www.zaubacorp.com/VPG-SOLAR-INFRATECH-PRIVATE-LIMITED-U74999UP2017PTC099587,"C-150 Sector-48   , Noida, Uttar Pradesh, India - 201301",https://www.zaubacorp.com/VPG-SOLAR-INFRATECH-PRIVATE-LIMITED-U74999UP2017PTC099587,fc31772fd88529b2f16c3bb6c2bab6a9,2026-05-13 19:10:06
51,,Just a moment...,,,,,,,,https://www.zaubacorp.com/CHANDRA-AWAS-PRIVATE-LIMITED-U70101WB2006PTC108817,9fe8fa4f19f6cd9b5a7d8f379c714572,2026-05-13 19:10:10
52,U51109WB2008PTC122232,S.P.SARKAR DISTRIBUTORS PRIVATE LIMITED,Strike Off,ROC Kolkata,,2008-01-30,kkrbhatt@rediffmail.com,https://www.zaubacorp.com/S-P-SARKAR-DISTRIBUTORS-PRIVATE-LIMITED-U51109WB2008PTC122232,"KAJORA BAZAR   , KAJORA GRAM, West Bengal, India - 713338",https://www.zaubacorp.com/S-P-SARKAR-DISTRIBUTORS-PRIVATE-LIMITED-U51109WB2008PTC122232,368e0d1da93b7449cf7963e96ce86894,2026-05-13 19:10:20
53,U70101CT2010PTC021649,SHRI RAM DREAM HOMES PRIVATE LIMITED,Strike Off,ROC Chhattisgarh,,2010-03-11,vinz9786@gmail.com,https://www.zaubacorp.com/SHRI-RAM-DREAM-HOMES-PRIVATE-LIMITED-U70101CT2010PTC021649,"Lavan Road   , Baloda Bazar, Chattisgarh, India - 493332",https://www.zaubacorp.com/SHRI-RAM-DREAM-HOMES-PRIVATE-LIMITED-U70101CT2010PTC021649,d0d2072d6ef53b3e20e5a814a81bff8e,2026-05-13 19:10:24
54,,Just a moment...,,,,,,,,https://www.zaubacorp.com/PALGHAT-FINANCE-LIMITED-U65191TN1996PLC037122,50ab7485203a142d2cc05fe9d36e2430,2026-05-13 19:10:27
55,,Just a moment...,,,,,,,,https://www.zaubacorp.com/ARC-AND-LIGHT-MEDIA-PRIVATE-LIMITED-U74900MH2011PTC216217,1297e9d7e959ac01514000710be0173e,2026-05-13 19:10:31
56,U74999MH2018PTC308635,OVION MOBITECH PRIVATE LIMITED,Active,ROC Mumbai,,2018-04-26,accounts@sanghvirealty.com,https://www.zaubacorp.com/OVION-MOBITECH-PRIVATE-LIMITED-U74999MH2018PTC308635,"Plot. 46, 1st Floor, Veetrag House, Cawasji Patel Rd., Horniman Circle, Fort   , MUMBAI, Maharashtra, India - 400001",https://www.zaubacorp.com/OVION-MOBITECH-PRIVATE-LIMITED-U74999MH2018PTC308635,efc7ae81d9c1ba36f309dfb0bd28b3d6,2026-05-13 19:10:35
57,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SPS-TECHNOTRENDS-PRIVATE-LIMITED-U74999HR2020PTC090791,bd1ba123e5886d49583f6578c65c7ba5,2026-05-13 19:10:41
58,U70102TG2002PTC038853,MURALIKRISHNA ESTATES PRIVATE LIMITED,Converted to LLP,ROC Hyderabad,,2002-04-26,kjeswanthrao@yahoo.co.in,https://www.zaubacorp.com/MURALIKRISHNA-ESTATES-PRIVATE-LIMITED-U70102TG2002PTC038853,"H.No.7-1-58, FLAT NO.105,SUREKHA CHAMBERS NEAR LAL BUNGALOW,AMEERPET   , HYDERABAD, Telangana, India - 500016",https://www.zaubacorp.com/MURALIKRISHNA-ESTATES-PRIVATE-LIMITED-U70102TG2002PTC038853,21d740b31dca20ca302d3d56006287ec,2026-05-13 19:10:47
59,,Just a moment...,,,,,,,,https://www.zaubacorp.com/KRV-FINANCE-AND-LEASING-LIMITED-U65921DL1995PLC072831,7732c6eaa9a615c8c3749b10a7968c0a,2026-05-13 19:10:49
60,U45200MP2011PTC026488,RODWAL REALITIES PRIVATE LIMITED,Active,ROC Gwalior,,2011-07-28,rodwal@yahoo.com,https://www.zaubacorp.com/RODWAL-REALITIES-PRIVATE-LIMITED-U45200MP2011PTC026488,"Flat No. 101, Siddhi Vinayak Plaza 282, Goyal Nagar   , Indore, Madhya Pradesh, India - 452001",https://www.zaubacorp.com/RODWAL-REALITIES-PRIVATE-LIMITED-U45200MP2011PTC026488,8bf7cee2735bb9fa1630b768f2234394,2026-05-13 19:10:56
61,U63023WB1973PTC028926,KALYAN COLD STORAGE PVT LTD,Strike Off,ROC Kolkata,,1973-08-02,,https://www.zaubacorp.com/KALYAN-COLD-STORAGE-PVT-LTD-U63023WB1973PTC028926,"KALNA NEBPARA   , BURDWAN, West Bengal, India - 000000",https://www.zaubacorp.com/KALYAN-COLD-STORAGE-PVT-LTD-U63023WB1973PTC028926,f09f6a82c817ee67c2d48362ebcd3d44,2026-05-13 19:11:02
62,,Just a moment...,,,,,,,,https://www.zaubacorp.com/MAHALWALA-POWER-PACKS-PRIVATE-LIMITED-U74899DL1987PTC029424,9a14c62fc43d8ccc86b1466612fe5ec0,2026-05-13 19:11:05
63,,Just a moment...,,,,,,,,https://www.zaubacorp.com/BEBE-DE-CHOLE-BHATURE-PRIVATE-LIMITED-U55100DL2020PTC372559,e5e5a60cb468e1144a53f5ac6dcde119,2026-05-13 19:11:08
64,U51900MH1998PTC116386,CALIBER INTERNATIONAL PRIVATE LIMITED,Strike Off,ROC Mumbai,,1998-08-31,,https://www.zaubacorp.com/CALIBER-INTERNATIONAL-PRIVATE-LIMITED-U51900MH1998PTC116386,"MOTLIBAI WADIA BUILDINGPREMISES CO OP SOCIETY LTD 22 D S A BRELVI RD FORT   , MUMBAI, Maharashtra, India - 400023",https://www.zaubacorp.com/CALIBER-INTERNATIONAL-PRIVATE-LIMITED-U51900MH1998PTC116386,802ec96a16e5a55fa9f52b6c35f7ce6b,2026-05-13 19:11:13
65,,Just a moment...,,,,,,,,https://www.zaubacorp.com/YUVAPAD-SKILLING-AND-ADVISORY-SERVICES-PRIVATE-LIMITED-U74999WB2019PTC232416,b47a3c056915fe0a91ecc14ada769c6f,2026-05-13 19:11:16
66,,Just a moment...,,,,,,,,https://www.zaubacorp.com/ADS-SQUAD-PRIVATE-LIMITED-U74999DL2020PTC362097,d86b0423e8a6af5aa80b6a88f68c8c5c,2026-05-13 19:11:20
67,U72200TG2013PTC086171,SQUEEZE MOBILITY TECHNOLOGIES PRIVATE LIMITED,Strike Off,ROC Hyderabad,,2013-03-06,narra.ajay@gvnka.in,https://www.zaubacorp.com/SQUEEZE-MOBILITY-TECHNOLOGIES-PRIVATE-LIMITED-U72200TG2013PTC086171,"Hno 2-56/33/38, Flat No 4, Ayyappa Society, Near Durgamma Temple, M adhapur  , Hyderabad, Telangana, India - 500081",https://www.zaubacorp.com/SQUEEZE-MOBILITY-TECHNOLOGIES-PRIVATE-LIMITED-U72200TG2013PTC086171,63b34db1ac6d50723ce9694e75fdef2c,2026-05-13 19:11:26
68,,Just a moment...,,,,,,,,https://www.zaubacorp.com/OLD-FRIEND-AND-CO-PVT-LTD-U51909WB1948PTC017100,31fd33f18397e9a689ebb6ae79b55267,2026-05-13 19:11:31
69,,Just a moment...,,,,,,,,https://www.zaubacorp.com/EZ-CAPITAL-SERVICES-PRIVATE-LIMITED-U74999PB2021PTC052928,ca3f7a78fa4f43fa64416f349fa52b07,2026-05-13 19:11:39
70,U74110PN1991PTC063163,AJJREE ENGINEERING INDUSTRIESS PRIVATE LIMITED,Active,ROC Pune,,1991-09-03,ajjree2014@gmail.com,https://www.zaubacorp.com/AJJREE-ENGINEERING-INDUSTRIESS-PRIVATE-LIMITED-U74110PN1991PTC063163,"J-12, MIDC Gokul Shirgaon,   , Kolhapur, Maharashtra, India - 416234",https://www.zaubacorp.com/AJJREE-ENGINEERING-INDUSTRIESS-PRIVATE-LIMITED-U74110PN1991PTC063163,fe4f830abe23262c09319aa0912b52fc,2026-05-13 19:11:42
71,,Just a moment...,,,,,,,,https://www.zaubacorp.com/G-H-ENTERPRISES-PRIVATE-LIMITED-U51909DL1994PTC057112,3ef0a6ffd0f538f3d656aeb26c7760e7,2026-05-13 19:11:46
72,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SAURABH-PROPERTIES-PRIVATE-LIMITED-U45200MH1986PTC040430,7b2ca0b6416ac7f22df2d4499ade712e,2026-05-13 19:11:52
73,U51909WB2005PTC104359,DEEP TRADELINK PRIVATE LIMITED,Active,ROC Kolkata,,2005-07-25,kuldeepgarg503@gmail.com,https://www.zaubacorp.com/DEEP-TRADELINK-PRIVATE-LIMITED-U51909WB2005PTC104359,"86/1 DR SUNDARI MOHAN AVENUE   , KOLKATA, West Bengal, India - 700014",https://www.zaubacorp.com/DEEP-TRADELINK-PRIVATE-LIMITED-U51909WB2005PTC104359,e25daed15dd522be5c175fc56816bb28,2026-05-13 19:11:57
74,U93000MH2019OPC320944,CVJACK SERVICES (OPC) PRIVATE LIMITED,Active,ROC Mumbai,,2019-02-11,amruta.joshi@cvjack.com,https://www.zaubacorp.com/CVJACK-SERVICES-OPC-PRIVATE-LIMITED-U93000MH2019OPC320944,"C/O ANANT DATTATRAYA JOSHI,FARANDE NAGAR WADI BK   , NANDED, Maharashtra, India - 431606",https://www.zaubacorp.com/CVJACK-SERVICES-OPC-PRIVATE-LIMITED-U93000MH2019OPC320944,031d1cd6a517a6fb36cf7b930a45812b,2026-05-13 19:12:06
75,U55101TZ1997PLC008105,N K S HOTELS LIMITED,Active,ROC Coimbatore,,1997-09-19,udhayajewel@gmail.com,https://www.zaubacorp.com/N-K-S-HOTELS-LIMITED-U55101TZ1997PLC008105,"19 RANI ILLAMGOPAL NAGAR PEELAMEDU   , COIMBATORE, Tamil Nadu, India - 641004",https://www.zaubacorp.com/N-K-S-HOTELS-LIMITED-U55101TZ1997PLC008105,0e53bfe9273be126835f3c96de1b0ff6,2026-05-13 19:12:12
76,,Just a moment...,,,,,,,,https://www.zaubacorp.com/SHEEMEE-SALES-AND-SERVICES-PVT-LTD-U74140WB1996PTC076662,66872550b509c2d9bcae5b44420ebe95,2026-05-13 19:12:15
77,,Just a moment...,,,,,,,,https://www.zaubacorp.com/VIVAK-BHARTU-AND-CONSULTANTS-PRIVATE-LIMITED-U45200MH1995PTC086705,89d6eda3f8cde94b01f8eaf6f7d70ce1,2026-05-13 19:12:21
78,U51397MP2021PTC057697,L1-RTC INDIA PRIVATE LIMITED,Active,ROC Gwalior,,2021-09-29,vishu.c.chawla@gmail.com,https://www.zaubacorp.com/L1-RTC-INDIA-PRIVATE-LIMITED-U51397MP2021PTC057697,"FIRST FLOOR , PLOT NO 228 ZONE -I, MP NAGAR   , BHOPAL, Madhya Pradesh, India - 462001",https://www.zaubacorp.com/L1-RTC-INDIA-PRIVATE-LIMITED-U51397MP2021PTC057697,519dd667c529a6e48e27d8e46eec89d9,2026-05-13 19:12:25
