id,cin,company_name,status,roc,company_type,incorporation_date,email,website,address,state,city,authorized_capital,paid_up_capital,company_category,company_subcategory,source_url,content_hash,last_updated
31,U74999DL2002PTC117343,DMF CONSULTANCY SERVICES PRIVATE LIMITED,Active,ROC Delhi,,2002-10-11,accounts@hansuttam.com,https://www.zaubacorp.com/DMF-CONSULTANCY-SERVICES-PRIVATE-LIMITED-U74999DL2002PTC117343,"FLAT NO-57 H BLOCK CONNAUGHT PLACE   , NEW DELHI, Delhi, India - 110001",Delhi,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/DMF-CONSULTANCY-SERVICES-PRIVATE-LIMITED-U74999DL2002PTC117343,edfcea46753e1d0829fab5cb3b44db51,2026-05-14 07:22:56
17,U67120MH1993PTC075675,DRESDNER KLEINWORT WASSERSTEIN SECURITIES (INDIA) PRIVATE LIMITED,Dissolved (Liquidated),ROC Mumbai,,1993-12-20,hemant@hemantsethi.com,https://www.zaubacorp.com/DRESDNER-KLEINWORT-WASSERSTEIN-SECURITIES-INDIA-PRIVATE-LIMITED-U67120MH1993PTC075675,"318, MAKER CHAMBER V,221, NARIMAN POUNT, MUMBAI-21   , W.E.F. 8/7/2002, Maharashtra, India - 000000",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/DRESDNER-KLEINWORT-WASSERSTEIN-SECURITIES-INDIA-PRIVATE-LIMITED-U67120MH1993PTC075675,75565e4dca5ffea4dae13709ad926dba,2026-05-14 07:20:51
28,U63030UP2019PTC125163,DRIKE TOURS AND TRAVELS PRIVATE LIMITED,Strike Off,ROC Kanpur,,2019-12-31,keshavtyagi182000@gmail.com,https://www.zaubacorp.com/DRIKE-TOURS-AND-TRAVELS-PRIVATE-LIMITED-U63030UP2019PTC125163,"C/O ANAND KUMAR, HOUSE NO. 194, VILL DHANORA HAPUR, PANCHSHEEL NAGAR,   , GHAZIABAD, Uttar Pradesh, India - 245101",Uttar Pradesh,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/DRIKE-TOURS-AND-TRAVELS-PRIVATE-LIMITED-U63030UP2019PTC125163,0da2216dcd50eb6df8997d7f18cbeca7,2026-05-14 07:22:14
44,U74999UP2017PTC095536,HADRON PHARMA LAB SOLUTIONS PRIVATE LIMITED,Strike Off,ROC Kanpur,,2017-07-31,csankittrawall@gmail.com,https://www.zaubacorp.com/HADRON-PHARMA-LAB-SOLUTIONS-PRIVATE-LIMITED-U74999UP2017PTC095536,"PANDEY NIWAS, KARM BHOOMI A1 MAIN GALI GARHI SECTOR 121 NOIDA   , Gautam Budh Nagar, Uttar Pradesh, India - 201301",Uttar Pradesh,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/HADRON-PHARMA-LAB-SOLUTIONS-PRIVATE-LIMITED-U74999UP2017PTC095536,4a0b9dfc873ebfb24e1e1e3f2dce6ebd,2026-05-14 07:29:39
23,U65993TN1993PTC024724,IMPERIAL CONSULTANTS AND SECURITIES LIMITED,Under CIRP,ROC Chennai,,1993-03-31,vimpco123@gmail.com,https://www.zaubacorp.com/IMPERIAL-CONSULTANTS-AND-SECURITIES-LIMITED-U65993TN1993PTC024724,"A S K Building 1st Floor Room No 2 Old No 44 New No 57 C P Ramaswamy Road Abhiramapur am  , Chennai, Tamil Nadu, India - 600018",Tamil Nadu,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/IMPERIAL-CONSULTANTS-AND-SECURITIES-LIMITED-U65993TN1993PTC024724,91f7f091dc2457682203027663aa7aac,2026-05-14 07:21:50
25,U72900TN2021PTC148423,INEXUS INNOVATION PRIVATE LIMITED,Active,ROC Chennai,,2021-12-07,nivasnivas312@gmail.com,https://www.zaubacorp.com/INEXUS-INNOVATION-PRIVATE-LIMITED-U72900TN2021PTC148423,"5/621 B1 Housing board part 2 krishna nagar   , kovilpatti, Tamil Nadu, India - 628501",Tamil Nadu,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/INEXUS-INNOVATION-PRIVATE-LIMITED-U72900TN2021PTC148423,fd1038b033ef0a3c6ae415bff6ac8898,2026-05-14 07:22:02
42,U45203MH2008PTC181465,JEWEL ROCK REALTY PRIVATE LIMITED,Active,ROC Mumbai,,2008-04-23,jewelrockrealty@gmail.com,https://www.zaubacorp.com/JEWEL-ROCK-REALTY-PRIVATE-LIMITED-U45203MH2008PTC181465,"1002, Excellency 2A, 4th Cross Lane, Lokhandwala Complex, Andheri West,   , Mumbai, Maharashtra, India - 400053",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/JEWEL-ROCK-REALTY-PRIVATE-LIMITED-U45203MH2008PTC181465,83c52dc6a75945fcb040f07b31b6b19a,2026-05-14 07:29:27
29,U33125DL2004PTC124692,LABEX INSTRUMENTS PRIVATE LIMITED,Strike Off,ROC Delhi,,2004-02-16,nivasca76@yahoo.co.in,https://www.zaubacorp.com/LABEX-INSTRUMENTS-PRIVATE-LIMITED-U33125DL2004PTC124692,"F-27, MAYAPURI INDUSTRIAL AREA PHASE-II   , NEW DELHI, Delhi, India - 110064",Delhi,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/LABEX-INSTRUMENTS-PRIVATE-LIMITED-U33125DL2004PTC124692,63d8e8bb2560aa426665883bc6d60ecd,2026-05-14 07:22:23
35,U85100MH2014PTC258481,MEQUISYS SOLUTIONS PRIVATE LIMITED,Active,ROC Mumbai,,2014-09-30,mequisyssolution@gmail.com,https://www.zaubacorp.com/MEQUISYS-SOLUTIONS-PRIVATE-LIMITED-U85100MH2014PTC258481,"12 FLOOR, D WING, TRADE WORLD, KAMALA CITY, SENAPATI BAPAT MARG,   , LOWER PAREL WEST, Maharashtra, India - 400013",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/PROLOGY-IT-SOLUTIONS-PRIVATE-LIMITED-U74120MH2014PTC258481,8b0495377abed52358cc2b17e415c9d9,2026-05-14 07:26:58
12,U72200TG1990PTC011250,NCORE TECHNOLOGY PVT LTD,Active,ROC Hyderabad,,1990-04-24,,https://www.zaubacorp.com/NCORE-TECHNOLOGY-PVT-LTD-U72200TG1990PTC011250,"2-2-12/7, D D COLONY HYDERABAD   , NA, Telangana, India - 000000",Telangana,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/NCORE-TECHNOLOGY-PVT-LTD-U72200TG1990PTC011250,8ce65956fb3246c5a7932ce9b3f6269c,2026-05-14 07:17:51
27,U51420WB1989PTC048005,PACHARIA EXPORTS PVT LTD,Active,ROC Kolkata,,1989-12-13,pacharia@pachariaexports.com,https://www.zaubacorp.com/PACHARIA-EXPORTS-PVT-LTD-U51420WB1989PTC048005,"37, DR.ABANI DUTTA ROAD, SALKIA   , HOWRAH, West Bengal, India - 711106",West Bengal,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/PACHARIA-EXPORTS-PVT-LTD-U51420WB1989PTC048005,9b8abc59e8d3fc5b6fc40035f7f1acb8,2026-05-14 07:22:09
2,AAE-6126,PACIFIC INFRABUILD LLP,,RoC-Delhi,45,2015-08-24,jainvarun23@hotmail.com,https://www.zaubacorp.com/PACIFIC-INFRABUILD-LLP-AAE-6126,"Farm No. 10, North Drive KH No. 733/2 DLF Chatarpur New Delhi South Delhi DL 110030 IN",Delhi,Delhi South Delhi,,,,,https://www.zaubacorp.com/PACIFIC-INFRABUILD-LLP-AAE-6126,d22603ab0995330f5709638fc844acbb,2026-05-14 07:13:27
36,U70100KA2005PTC042122,PRIMROSE REALTY PROJECTS (BANGALORE) PRIVATE LIMITED,Active,ROC Bangalore,,2005-06-03,secretarial@vaswanigroup.com,https://www.zaubacorp.com/PRIMROSE-REALTY-PROJECTS-BANGALORE-PRIVATE-LIMITED-U70100KA2005PTC042122,"'VASWANI VICTORIA' 3RD FLOOR, 30, VICTORIA ROAD,   , BANGALORE, Karnataka, India - 560047",Karnataka,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/DIVIJ-REALTY-PRIVATE-LIMITED-U70100MH2005PTC153743,4b9fe2aeea1e078002c2d2f2da8ed8cd,2026-05-14 07:27:01
14,U74990MH2009FTC194075,PWC STRATEGY& (INDIA) PRIVATE LIMITED,Active,RoC-Mumbai,,2009-07-14,nilesh.narwekar@strategyand.in.pwc.com,https://www.zaubacorp.com/PWC-STRATEGY-AND-INDIA-PRIVATE-LIMITED-U74990MH2009FTC194075,"Swatantryaveer Savarkar Rashtriya Smarak, 252 Veer Savarkar Marg, Shivaji Park, Dadar (W) Mumbai Mumbai City MH 400028 IN",Maharashtra,Mumbai Mumbai City,,,Company limited by Shares,Subsidiary of Foreign Company,https://www.zaubacorp.com/PWC-STRATEGY-AND-INDIA-PRIVATE-LIMITED-U74990MH2009FTC194075,df717db3a64cf1580f1c8512dd0e5943,2026-05-14 07:18:36
22,U45200DL2012PTC231983,RASIK INFRACON PRIVATE LIMITED,Active,ROC Kanpur,,2012-02-24,rasikinfracon@gmail.com,https://www.zaubacorp.com/RASIK-INFRACON-PRIVATE-LIMITED-U45200DL2012PTC231983,"G-12 G JAWAHAR COLONEY, RAMGHAT ROAD   , ALIGARH, Uttar Pradesh, India - 202001",Uttar Pradesh,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/RASIK-INFRACON-PRIVATE-LIMITED-U45200DL2012PTC231983,95f31f7bad83472dc8ef1e624decf88b,2026-05-14 07:21:46
11,AAE-9623,REINA CONSULTING LLP,,RoC-Delhi,74,2016-01-22,aroradeepak10@gmail.com,https://www.zaubacorp.com/REINA-CONSULTING-LLP-AAE-9623,"PPJ-151 Park Place DLF City Phase -V IN, DLF Gur gaon Gurgaon Gurgaon HR 122009 IN",Haryana,Gurgaon Gurgaon,,,,,https://www.zaubacorp.com/REINA-CONSULTING-LLP-AAE-9623,fe26f2c42370cee8a8b3ba7aff086ef9,2026-05-14 07:17:17
43,U72200TN2009PTC070684,RELIANT SOFTWARE SOLUTION INTEGRATED PRIVATE LIMITED,Strike Off,ROC Chennai,,2009-02-06,manian_acs@yahoo.co.in,https://www.zaubacorp.com/RELIANT-SOFTWARE-SOLUTION-INTEGRATED-PRIVATE-LIMITED-U72200TN2009PTC070684,"41A, VELLAIKOTTAI MELARATHA STREET,   , ARUPPUKOTTAI, Tamil Nadu, India - 626101",Tamil Nadu,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/RELIANT-SOFTWARE-SOLUTION-INTEGRATED-PRIVATE-LIMITED-U72200TN2009PTC070684,a6d65a214f165b62605cb7b5142c350d,2026-05-14 07:29:34
26,U45400MH2012PTC232620,S L HOMEZ PRIVATE LIMITED,Strike Off,ROC Mumbai,,2012-06-26,ritika_agarwal17@rediffmail.com,https://www.zaubacorp.com/S-L-HOMEZ-PRIVATE-LIMITED-U45400MH2012PTC232620,"602, QUISCENT HEIGHT MIND SPACE,OFF MALAD LINK ROAD, MALAD W EST  , MUMBAI, Maharashtra, India - 400064",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/S-L-HOMEZ-PRIVATE-LIMITED-U45400MH2012PTC232620,6b4a4e9231ffac02b971397636baa843,2026-05-14 07:22:06
48,U51109WB2008PTC122232,S.P.SARKAR DISTRIBUTORS PRIVATE LIMITED,Strike Off,ROC Kolkata,,2008-01-30,kkrbhatt@rediffmail.com,https://www.zaubacorp.com/S-P-SARKAR-DISTRIBUTORS-PRIVATE-LIMITED-U51109WB2008PTC122232,"KAJORA BAZAR   , KAJORA GRAM, West Bengal, India - 713338",West Bengal,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/S-P-SARKAR-DISTRIBUTORS-PRIVATE-LIMITED-U51109WB2008PTC122232,b4da64326db9f0db8e17825f351f0709,2026-05-14 07:30:06
18,AAQ-6173,SAITEX FAB SAREES LLP,,RoC-Ahmedabad,17,2019-09-20,saitexfab50@yahoo.in,https://www.zaubacorp.com/SAITEX-FAB-SAREES-LLP-AAQ-6173,"SY NO.427,482/A,WING D,1ST FLOOR,OFFICE 105 TO 108 SHREE KUBERJI TEXTILE PARK, RING ROAD SURAT Surat GJ 395002 IN",Gujarat,ROAD SURAT Surat,,,,,https://www.zaubacorp.com/SAITEX-FAB-SAREES-LLP-AAQ-6173,19447fbff9639259899dfebb04a04ded,2026-05-14 07:20:58
40,U74920JH2002PTC010036,SALVO SECURITIES & INTELLIGENCE SERVICES PRIVATE LIMITED,Strike Off,RoC-Jharkhand,,2002-12-27,,https://www.zaubacorp.com/SALVO-SECURITIES-AND-INTELLIGENCE-SERVICES-PRIVATE-LIMITED-U74920JH2002PTC010036,"H.NO.- 89, MAKATPUR CHOWKARGAGHAT ROAD P.O.- GIRIDIH P O GIRIDIH JH 000000 IN",Jharkhand,P O GIRIDIH,,,Company limited by Shares,Non-govt company,https://www.zaubacorp.com/SALVO-SECURITIES-AND-INTELLIGENCE-SERVICES-PRIVATE-LIMITED-U74920JH2002PTC010036,476a70c51f5e50a5c0fc1744cda2ba78,2026-05-14 07:28:55
37,U63010MH2007PTC174842,SGL CONTAINER LINE PRIVATE LIMITED,Active,ROC Mumbai,,2007-10-09,accounts@sglline.com,https://www.zaubacorp.com/SGL-CONTAINER-LINE-PRIVATE-LIMITED-U63010MH2007PTC174842,"A-146, BALAJI BHVAN , 1ST FLOOR, SECTOR 11, CBD BELAPUR, NAVI MUMBAI   , NAVI MUMBAI, Maharashtra, India - 400614",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/SGL-CONTAINER-LINE-PRIVATE-LIMITED-U63010MH2007PTC174842,9f35dad029b6acf76fd59bdefb76746c,2026-05-14 07:28:27
30,U74899DL1961PTC003402,SHIV GENERAL FINANCE PVT LTD,Active,ROC Delhi,,1961-03-23,pawankumarpk100@yahoo.in,https://www.zaubacorp.com/SHIV-GENERAL-FINANCE-PVT-LTD-U74899DL1961PTC003402,"F-20KALKAJI NCT OF DELHI   , NEW DELHI, Delhi, India - 110019",Delhi,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/SHIV-GENERAL-FINANCE-PVT-LTD-U74899DL1961PTC003402,b70e7e50d1d4d05a891c3c9b669b165e,2026-05-14 07:22:49
10,AAF-1860,SOLSKEN ENERGY LLP,,RoC-Jaipur,40,2015-11-19,akshchat17@gmail.com,https://www.zaubacorp.com/SOLSKEN-ENERGY-LLP-AAF-1860,"ROOM NO. 101, PAHAL HOTEL C-4, RIICO INDUSTRIAL AREA BHIWADI Alwar RJ 301019 IN",Rajasthan,AREA BHIWADI Alwar,,,,,https://www.zaubacorp.com/SOLSKEN-ENERGY-LLP-AAF-1860,3d46a9bd8fdcc7b6c5e96c1fa7aeb71e,2026-05-14 07:17:13
24,U45400MH2012PTC234572,SOM CONSTRUCTION PRIVATE LIMITED,Strike Off,ROC Mumbai,,2012-08-16,somelectricals@hotmail.com,https://www.zaubacorp.com/SOM-CONSTRUCTION-PRIVATE-LIMITED-U45400MH2012PTC234572,"409, NIT COMMERCIAL COMPLEX SITABULDI   , NAGPUR, Maharashtra, India - 440012",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/SOM-CONSTRUCTION-PRIVATE-LIMITED-U45400MH2012PTC234572,9be8b3ffdfba73ec5c44ce6b1d753d78,2026-05-14 07:21:54
9,AAF-2865,SRI KRISHNA FREEHOLD LLP,,,70,2015-12-08,INFO@ASIATAXZONE.COM,https://www.zaubacorp.com/SRI-KRISHNA-FREEHOLD-LLP-AAF-2865,"1/5522 PLOT NO-20,GALI NO-16,BALBIR NAGAR EXT. OPPOSITE SHIV MANDIR DELHI East Delhi DL 110032 IN",Delhi,DELHI East Delhi,,,,,https://www.zaubacorp.com/SRI-KRISHNA-FREEHOLD-LLP-AAF-2865,29afb9d30af40f2adf0d1c3f8164af82,2026-05-14 07:17:07
38,U51909WB1994PTC066566,SUNKISSED TRADERS PVT LTD,Active,ROC Kolkata,,1994-12-14,s.salesbo@gmail.com,https://www.zaubacorp.com/SUNKISSED-TRADERS-PVT-LTD-U51909WB1994PTC066566,"8, GANESH CHANDRA AVENUE 1ST FLOOR, ROOM NO 6   , KOLKATA, West Bengal, India - 700013",West Bengal,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/SUNKISSED-TRADERS-PVT-LTD-U51909WB1994PTC066566,dad812e966b8ecd85fe069a3ba1b915a,2026-05-14 07:28:33
34,L99999MH1987PLC043205,SUPREME ENGINEERING LIMITED,Under CIRP,ROC Mumbai,,1987-04-21,cs@supremesteels.com,https://www.zaubacorp.com/SUPREME-ENGINEERING-LIMITED-L99999MH1987PLC043205,"R.223, MIDC COMPLEX, THANE, BELAPUR ROAD, RABALE,   , NAVI-MUMBAI, Maharashtra, India - 400701",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/SUPREME-HEATREATERS-PVT-LTD-U99999MH1987PTC043205,adf90beacdcb993fb7f8ce9992c85a38,2026-05-14 07:26:54
41,U74999MH2017PTC299468,VESELKO LEAD GENERATION AND EVENT MANAGEMENT PRIVATE LIMITED,Active,ROC Mumbai,,2017-09-07,vilas_vj@yahoo.co.in,https://www.zaubacorp.com/VESELKO-LEAD-GENERATION-AND-EVENT-MANAGEMENT-PRIVATE-LIMITED-U74999MH2017PTC299468,"72-569, MOTILAL NAGAR NO.3, M. G. ROAD, NEAR SHIVAJI NAGAR, GOREGAON (WEST)   , MUMBAI, Maharashtra, India - 400104",Maharashtra,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/VESELKO-LEAD-GENERATION-AND-EVENT-MANAGEMENT-PRIVATE-LIMITED-U74999MH2017PTC299468,cdf5437beb310f21e68b52e6a1cd8d33,2026-05-14 07:29:21
4,AAF-8155,VIPANI ONLINE SHOPPING PORTAL LLP,,RoC-Ernakulam,52,2016-02-29,vinodinkeralam@gmail.com,https://www.zaubacorp.com/VIPANI-ONLINE-SHOPPING-PORTAL-LLP-AAF-8155,"DOOR NO:13/507B-50,51, 3rd FLOOR, ""YAMUNA ARCADE"",CHALICHANKANDY PARAMBA,K ALLAI ROAD CALICUT Kozhikode KL 673002 IN",Kerala,ROAD CALICUT Kozhikode,,,,,https://www.zaubacorp.com/VIPANI-ONLINE-SHOPPING-PORTAL-LLP-AAF-8155,ab5f2054f74d9f8dedc5af21c1dca60f,2026-05-14 07:14:14
39,U70100RJ2017PTC059770,VIRAASAT ESTATE DEVELOPERS PRIVATE LIMITED,Converted to LLP,ROC Jaipur,,2017-12-14,rkkabra76@hotmail.com,https://www.zaubacorp.com/VIRAASAT-ESTATE-DEVELOPERS-PRIVATE-LIMITED-U70100RJ2017PTC059770,"D-51, Subhash Marg, Ahinsa Circle C-Scheme   , Jaipur, Rajasthan, India - 302001",Rajasthan,-,,,Company limited by shares,Non-government company,https://www.zaubacorp.com/VIRAASAT-ESTATE-DEVELOPERS-PRIVATE-LIMITED-U70100RJ2017PTC059770,05047a5463787964824915a5010f30a1,2026-05-14 07:28:44
